line_number,raw_line,char_count,word_count,digit_count,special_char_count,keyword_hit_count,has_error_keyword,has_auth_keyword
1,Dec 22 10:01:01 server sshd[111]: Accepted password for user from 10.0.0.5 port 51234,85,13,21,8,0,0,0
2,Dec 22 10:01:10 server sshd[112]: Failed password for invalid user admin from 34.21.8.9 port 40211,98,15,22,8,3,0,1
3,Dec 22 10:02:15 server sudo[200]: user : TTY=pts/0 ; PWD=/home/user ; COMMAND=/bin/ls,85,12,12,16,0,0,0
4,Dec 22 10:03:05 server sshd[130]: Failed password for root from 34.21.8.9 port 40212,84,13,22,8,2,0,1
5,Dec 22 10:03:07 server sshd[130]: Failed password for root from 34.21.8.9 port 40213,84,13,22,8,2,0,1
6,Dec 22 10:03:09 server sshd[130]: Failed password for root from 34.21.8.9 port 40214,84,13,22,8,2,0,1
7,Dec 22 10:04:20 server app[300]: ERROR: database connection timeout after 30s,77,11,13,6,2,1,0
8,Dec 22 10:05:00 server nginx[400]: 404 GET /admin/login from 34.21.8.9,70,10,20,10,0,0,0
9,Dec 22 10:05:05 server nginx[400]: 200 GET /index.html from 10.0.0.6,68,10,19,10,0,0,0
10,Dec 22 10:05:30 server kernel[500]: WARNING: unusual network activity detected,78,10,11,6,0,0,0
